,timestamp,name,value,meta.description,meta.host,meta.job,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,meta.applicationId,meta.applicationName,meta.devAddr,meta.devEui,meta.deviceName,meta.deviceProfileId,meta.deviceProfileName,meta.serial_number_tag,meta.tenantId,meta.tenantName,meta.channel,meta.image_frac,meta.input,meta.nsegments_asked,meta.nsegments_found,meta.quality,meta.seg_id,meta.seg_rank,meta.seg_size,meta.name,meta.camera,meta.gatewayId,meta.type,meta.cpu,meta.mode,meta.device,meta.fstype,meta.mountpoint,meta.chip,meta.server,meta.severity,meta.filename,meta.loop_num,meta.position
31970,2024-08-07 16:06:44.037326910+00:00,sys.net.rx_packets,44876771,,000048b02dd3c551.ws-nxcore,,,000048b02dd3c551,,,,,W0B2,,,,,,,,,,,,,,,,,,,,,,,,,,,lo,,,,,,,,
15221,2024-08-07 16:05:45.550499905+00:00,sys.cpu_seconds,0,,000048b02dd3c51f.ws-nxcore,,,000048b02dd3c51f,,,,,W099,,,,,,,,,,,,,,,,,,,,,,,,,5,steal,,,,,,,,,
12048,2024-08-07 16:06:22.308363374+00:00,sys.cpu_seconds,3308938.26,,0000d83add0dbd13.ws-rpi,,,000048b02dd3c637,,,,,W0BE,,,,,,,,,,,,,,,,,,,,,,,,,2,idle,,,,,,,,,
35633,2024-08-07 16:05:51.491562919+00:00,sys.net.up,0,,000048b02dd3c543.ws-nxcore,,,000048b02dd3c543,,,,,W096,,,,,,,,,,,,,,,,,,,,,,,,,,,dummy0,,,,,,,,
13994,2024-08-07 16:06:19.834002529+00:00,sys.cpu_seconds,0,,00002cea7fa07d1a.sb-core,,,00002cea7fa07d1a,,,,,V053,,,,,,,,,,,,,,,,,,,,,,,,,4,irq,,,,,,,,,
40838,2024-08-07 15:51:01.124710400+00:00,sys.sanity_status.wes_sciencerule_checker,2,,00004cd98fc67b75.sb-core,,,00004cd98fc67b75,,,,,V002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatal,,,
39818,2024-08-07 15:42:06.771054336+00:00,sys.sanity_status.wagman_rtc,1,,00002cea7fa07d1a.sb-core,,,00002cea7fa07d1a,,,,,V053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warning,,,
20261,2024-08-07 16:05:05.586506850+00:00,sys.fs.avail,5996130304,,0000dca632a305c8.ws-rpi,,,000048b02d05a1c7,,,,,W026,,,,,,,,,,,,,,,,,,,,,,,,,,,/dev/mmcblk0p3,ext4,/media/plugin-data,,,,,,
23588,2024-08-07 16:04:48.566253146+00:00,sys.mem.active,1961816064,,0000e45f012e38c2.ws-rpi,,,000048b02d3ae2f2,,,,,W06F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,2024-08-07 16:06:37.546817502+00:00,sys.net.rx_bytes,9290426684,,00004cd98fb57bfb.sb-core,,,00004cd98fb57bfb,,,,,V020,,,,,,,,,,,,,,,,,,,,,,,,,,,docker0,,,,,,,,
17155,2024-08-07 16:05:31.125174403+00:00,sys.freq.cpu,1500000000,,0000dca632a2fa54.ws-rpi,,,000048b02d15bc87,,,,,W019,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
38476,2024-08-07 15:36:11.109156096+00:00,sys.sanity_status.ntp_dns_resolution,0,,00002cea7fa0898b.sb-core,,,00002cea7fa0898b,,,,,V045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warning,,,
17163,2024-08-07 16:06:41.833090396+00:00,sys.freq.cpu,1500000000,,0000dca632de138d.ws-rpi,,,000048b02d3ae30a,,,,,W06A,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
10562,2024-08-07 16:05:29.077136391+00:00,sys.cpu_seconds,0,,00002cea7f456745.sb-core,,,00002cea7f456745,,,,,V054,,,,,,,,,,,,,,,,,,,,,,,,,14,irq,,,,,,,,,
27764,2024-08-07 16:04:48.566253146+00:00,sys.mem.sreclaimable,3168624640,,0000e45f012e38c2.ws-rpi,,,000048b02d3ae2f2,,,,,W06F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43342,2024-08-07 16:00:05.451759682+00:00,upload,https://storage.sagecontinuum.org/api/v1/data/imagesampler-top-1731/sage-imagesampler-top-0.3.0/000048b02dd3c76e/1723046405451759682-sample.jpg,,000048b02d3afdcd.ws-nxagent,imagesampler-top-1731,,000048b02dd3c76e,registry.sagecontinuum.org/theone/imagesampler:0.3.0,,imagesampler-top,,W0A4,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample.jpg,,
1636,2024-08-07 15:50:55.705555180+00:00,cmv.median.dir.degn,135.82321166992188,,0000e45f0198f3d7.ws-rpi,cloud-motion-v1-368,,000048b02d3ae27a,registry.sagecontinuum.org/bhupendraraut/cloud-motion:1.23.07.12,,cloud-motion-v1,,W020,shield,,,,,,,,,,,0,0.9,top_camera,100,81,2,39,3,56961,,,,,,,,,,,,,,,
6521,2024-08-07 16:06:40.586205639+00:00,sys.cooling_max,0,,00004cd98fb55091.sb-core,,,00004cd98fb55091,,,,,V019,,,,,,,,,,,,,,,,,,,,,1,,,Processor,,,,,,,,,,,
23562,2024-08-07 16:04:50.642435678+00:00,sys.mem.active,1338699776,,0000d83add18cc59.ws-rpi,,,000048b02dd3c551,,,,,W0B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34534,2024-08-07 16:05:59.257396567+00:00,sys.net.tx_packets,0,,000048b02d3ae33b.ws-nxcore,,,000048b02d3ae33b,,,,,W07A,,,,,,,,,,,,,,,,,,,,,,,,,,,l4tbr0,,,,,,,,
23420,2024-08-07 16:05:27.445526503+00:00,sys.load5,0.37,,0000e45f0144fcf4.ws-rpi,,,000048b02d35a9b2,,,,,W058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27397,2024-08-07 16:06:07.766163151+00:00,sys.mem.shared,1217376256,,0000dca632a307b6.ws-rpi,,,000048b02d0766d2,,,,,W014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20433,2024-08-07 16:06:01.413728474+00:00,sys.fs.avail,623484104704,,000048b02dd3c64a.ws-nxcore,,,000048b02dd3c64a,,,,,W0B6,,,,,,,,,,,,,,,,,,,,,,,,,,,/dev/nvme0n1p4,ext4,/media/plugin-data,,,,,,
34362,2024-08-07 16:06:12.828606873+00:00,sys.net.tx_packets,0,,000048b02d15bc8c.ws-nxcore,,,000048b02d15bc8c,,,,,W039,,,,,,,,,,,,,,,,,,,,,,,,,,,flannel.1,,,,,,,,
21023,2024-08-07 16:06:32.235869959+00:00,sys.fs.size,29413117952,,0000d83add18cb30.ws-rpi,,,000048b02d15bda5,,,,,W022,,,,,,,,,,,,,,,,,,,,,,,,,,,/dev/mmcblk0p3,ext4,/media/plugin-data,,,,,,
25123,2024-08-07 16:06:19.035678546+00:00,sys.mem.cma_total,67108864,,0000d83add18c2c6.ws-rpi,,,000048b02dd3c810,,,,,W0B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34571,2024-08-07 16:06:26.963425071+00:00,sys.net.tx_packets,0,,000048b02dd3c67b.ws-nxagent,,,000048b02dd3c640,,,,,W0BA,,,,,,,,,,,,,,,,,,,,,,,,,,,l4tbr0,,,,,,,,
43392,2024-08-07 16:00:10.956999074+00:00,upload,https://storage.sagecontinuum.org/api/v1/data/imagesampler-top-1731/sage-imagesampler-top-0.3.0/000048b02dd3c51f/1723046410956999074-sample.jpg,,0000e45f012e378d.ws-rpi,imagesampler-top-1731,,000048b02dd3c51f,registry.sagecontinuum.org/theone/imagesampler:0.3.0,,imagesampler-top,,W099,shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample.jpg,,
29939,2024-08-07 16:05:19.185983009+00:00,sys.net.rx_bytes,324378263,,000048b02d3ae277.ws-nxcore,,,000048b02d3ae277,,,,,W08D,,,,,,,,,,,,,,,,,,,,,,,,,,,docker0,,,,,,,,
37335,2024-08-07 15:49:54.272408576+00:00,sys.sanity_status.core_nvme_emmc,1,,00004cd98fc67b75.sb-core,,,00004cd98fc67b75,,,,,V002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatal,,,
22566,2024-08-07 16:06:24.838361198+00:00,sys.hwmon,39,,00002cea7fa09fa0.sb-core,,,00002cea7fa09fa0,,temp8,,,V048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,platform_coretemp_1,,,,,
32886,2024-08-07 16:06:38.434863729+00:00,sys.net.tx_bytes,62410642468,,0000d83add18ca94.ws-rpi,,,000048b02dd3c543,,,,,W096,,,,,,,,,,,,,,,,,,,,,,,,,,,eth0,,,,,,,,
23978,2024-08-07 16:06:33.111420795+00:00,sys.mem.anon_pages,1267535872,,00002cea7fa137cc.sb-core,,,00002cea7fa137cc,,,,,V047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28036,2024-08-07 16:06:24.094543656+00:00,sys.mem.swap.cached,0,,000048b02dd3c552.ws-nxagent,,,000048b02dd3c42d,,,,,W0AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16703,2024-08-07 16:05:03.241803176+00:00,sys.freq.cpu,1190400000,,000048b02dd3c5e3.ws-nxagent,,,000048b02dd3c551,,,,,W0B2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1116,2024-08-07 15:48:34.715211039+00:00,cmv.mean.mag.pxpm,67.92387390136719,,0000e45f0198f3d7.ws-rpi,cloud-motion-v1-368,,000048b02d3ae27a,registry.sagecontinuum.org/bhupendraraut/cloud-motion:1.23.07.12,,cloud-motion-v1,,W020,shield,,,,,,,,,,,0,0.9,top_camera,100,83,2,70,16,22525,,,,,,,,,,,,,,,
27524,2024-08-07 16:05:46.246607526+00:00,sys.mem.slab,2027184128,,000048b02dd3c637.ws-nxcore,,,000048b02dd3c637,,,,,W0BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29540,2024-08-07 16:06:24.838361198+00:00,sys.mem.writebacktmp,0,,00002cea7fa09fa0.sb-core,,,00002cea7fa09fa0,,,,,V048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27582,2024-08-07 16:05:32.417539095+00:00,sys.mem.slab,2046963712,,0000dca632ed6d06.ws-rpi,,,000048b02d35a97c,,,,,W08C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29353,2024-08-07 16:04:45.509132175+00:00,sys.mem.writeback,0,,00002cea7f5a0a3d.sb-core,,,00002cea7f5a0a3d,,,,,V026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
