,timestamp,name,value,meta.host,meta.job,meta.node,meta.plugin,meta.sensor,meta.task,meta.vsn,meta.zone
2187,2024-08-07 16:50:41.039059625+00:00,env.pressure,99432,0000dca632ed2f3a.ws-rpi,Pluginctl,000048b02d3af4a3,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W083,shield
2433,2024-08-07 16:50:55.700291303+00:00,env.relative_humidity,62.394,0000dca632a2fa54.ws-rpi,Pluginctl,000048b02d15bc87,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W019,shield
2202,2024-08-07 16:50:41.612847726+00:00,env.pressure,98897,0000e45f01451fc4.ws-rpi,Pluginctl,000048b02dd3c636,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B4,shield
2409,2024-08-07 16:50:55.849486011+00:00,env.relative_humidity,16.199,000048b02dd3c640.ws-nxcore,Pluginctl,000048b02dd3c640,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0BA,core
2440,2024-08-07 16:50:36.365315156+00:00,env.relative_humidity,60.393,0000dca632de138d.ws-rpi,Pluginctl,000048b02d3ae30a,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W06A,shield
2495,2024-08-07 16:50:56.995954707+00:00,env.temperature,21.1,000048b02d3ae2f2.ws-nxcore,,000048b02d3ae2f2,registry.sagecontinuum.org/seanshahkarami/air-quality:0.2.0,es642,air-quality,W06F,core
2533,2024-08-07 16:50:27.164376217+00:00,env.temperature,27.88,0000d83add0dbd40.ws-rpi,Pluginctl,000048b02dd3c641,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W09D,shield
2428,2024-08-07 16:50:31.808495104+00:00,env.relative_humidity,52.304,0000d83add18c2c6.ws-rpi,Pluginctl,000048b02dd3c810,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B7,shield
2150,2024-08-07 16:50:45.228131607+00:00,env.pressure,98880.804687,000048b02dd3c636.ws-nxcore,Pluginctl,000048b02dd3c636,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B4,core
2425,2024-08-07 16:50:53.892984491+00:00,env.relative_humidity,52.608,0000d83add0dbd61.ws-rpi,Pluginctl,000048b02dd3c5e0,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B1,shield
2114,2024-08-07 16:50:43.480809004+00:00,env.pressure,98922.19921800001,000048b02d15bda5.ws-nxcore,Pluginctl,000048b02d15bda5,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W022,core
2563,2024-08-07 16:50:35.652285148+00:00,env.temperature,22.85,0000e45f012e383b.ws-rpi,Pluginctl,000048b02d3ae337,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W067,shield
2103,2024-08-07 16:50:30.815805639+00:00,env.pressure,99491.570312,000048b02d05a1c2.ws-nxcore,Pluginctl,000048b02d05a1c2,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W02C,core
2203,2024-08-07 16:50:46.898931494+00:00,env.pressure,99492,0000e45f014524c6.ws-rpi,Pluginctl,000048b02d3af476,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W051,shield
2151,2024-08-07 16:50:55.847599913+00:00,env.pressure,98901.92968700001,000048b02dd3c640.ws-nxcore,Pluginctl,000048b02dd3c640,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0BA,core
2113,2024-08-07 16:50:56.900849447+00:00,env.pressure,98887.003906,000048b02d15bc8c.ws-nxcore,Pluginctl,000048b02d15bc8c,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W039,core
