DateTime,radW/m2
2024-01-02 23:30:00,0.00
2024-01-02 23:45:00,0.00
2024-01-03 00:00:00,0.00
2024-01-03 00:15:00,0.00
2024-01-03 00:30:00,0.00
2024-01-03 00:45:00,0.00
2024-01-03 01:00:00,0.00
2024-01-03 01:15:00,0.00
2024-01-03 01:30:00,0.00
2024-01-03 01:45:00,0.00
2024-01-03 02:00:00,0.00
2024-01-03 02:15:00,0.00
2024-01-03 02:30:00,0.00
2024-01-03 02:45:00,0.00
2024-01-03 03:00:00,0.00
2024-01-03 03:15:00,0.00
2024-01-03 03:30:00,0.00
2024-01-03 03:45:00,0.00
2024-01-03 04:00:00,0.00
2024-01-03 04:15:00,0.00
2024-01-03 04:30:00,0.00
2024-01-03 04:45:00,-0.01
2024-01-03 05:00:00,0.03
2024-01-03 05:15:00,0.00
2024-01-03 05:30:00,0.00
2024-01-03 05:45:00,0.00
2024-01-03 06:00:00,0.00
2024-01-03 06:15:00,0.00
2024-01-03 06:30:00,0.00
2024-01-03 06:45:00,0.00
2024-01-03 07:00:00,0.00
2024-01-03 07:15:00,0.18
2024-01-03 07:30:00,0.53
2024-01-03 07:45:00,2.21
2024-01-03 08:00:00,5.31
2024-01-03 08:15:00,10.96
2024-01-03 08:30:00,16.28
2024-01-03 08:45:00,20.88
2024-01-03 09:00:00,29.70
2024-01-03 09:15:00,38.77
2024-01-03 09:30:00,29.92
2024-01-03 09:45:00,44.71
2024-01-03 10:00:00,44.41
2024-01-03 10:15:00,38.63
2024-01-03 10:30:00,36.71
2024-01-03 10:45:00,35.49
2024-01-03 11:00:00,40.14
2024-01-03 11:15:00,48.23
2024-01-03 11:30:00,45.36
2024-01-03 11:45:00,46.61
2024-01-03 12:00:00,46.52
2024-01-03 12:15:00,44.13
2024-01-03 12:30:00,45.92
2024-01-03 12:45:00,51.50
2024-01-03 13:00:00,52.40
2024-01-03 13:15:00,52.07
2024-01-03 13:30:00,64.11
2024-01-03 13:45:00,42.12
2024-01-03 14:00:00,28.10
2024-01-03 14:15:00,39.90
2024-01-03 14:30:00,43.82
2024-01-03 14:45:00,84.27
2024-01-03 15:00:00,35.87
2024-01-03 15:15:00,140.98
2024-01-03 15:30:00,146.08
2024-01-03 15:45:00,91.35
2024-01-03 16:00:00,33.20
2024-01-03 16:15:00,12.61
2024-01-03 16:30:00,5.18
2024-01-03 16:45:00,1.65
2024-01-03 17:00:00,0.17
2024-01-03 17:15:00,-0.07
2024-01-03 17:30:00,-0.04
2024-01-03 17:45:00,-0.01
2024-01-03 18:00:00,-0.06
2024-01-03 18:15:00,-0.04
2024-01-03 18:30:00,0.00
2024-01-03 18:45:00,-0.01
2024-01-03 19:00:00,-0.01
2024-01-03 19:15:00,-0.01
2024-01-03 19:30:00,0.00
2024-01-03 19:45:00,-0.01
2024-01-03 20:00:00,0.00
2024-01-03 20:15:00,0.00
2024-01-03 20:30:00,0.00
2024-01-03 20:45:00,-0.03
2024-01-03 21:00:00,-0.05
2024-01-03 21:15:00,0.00
2024-01-03 21:30:00,0.00
2024-01-03 21:45:00,-0.03
2024-01-03 22:00:00,-0.01
2024-01-03 22:15:00,-0.01
2024-01-03 22:30:00,0.00
2024-01-03 22:45:00,-0.04
2024-01-03 23:00:00,-0.03
2024-01-03 23:15:00,-0.04
2024-01-03 23:30:00,-0.09
2024-01-03 23:45:00,-0.11
2024-01-04 00:00:00,-0.34
2024-01-04 00:15:00,-0.25
2024-01-04 00:30:00,0.00
2024-01-04 00:45:00,0.00
2024-01-04 01:00:00,0.00
2024-01-04 01:15:00,0.00
2024-01-04 01:30:00,-0.04
2024-01-04 01:45:00,-0.02
2024-01-04 02:00:00,-0.02
2024-01-04 02:15:00,-0.10
2024-01-04 02:30:00,-0.11
2024-01-04 02:45:00,-0.17
2024-01-04 03:00:00,-0.10
2024-01-04 03:15:00,-0.13
2024-01-04 03:30:00,-0.25
2024-01-04 03:45:00,-0.37
2024-01-04 04:00:00,-0.43
2024-01-04 04:15:00,-0.42
2024-01-04 04:30:00,-0.44
2024-01-04 04:45:00,-0.69
2024-01-04 05:00:00,-0.70
2024-01-04 05:15:00,-0.67
2024-01-04 05:30:00,-0.54
2024-01-04 05:45:00,-0.54
2024-01-04 06:00:00,-0.62
2024-01-04 06:15:00,-0.60
2024-01-04 06:30:00,-0.45
2024-01-04 06:45:00,-0.60
2024-01-04 07:00:00,-0.32
2024-01-04 07:15:00,1.52
2024-01-04 07:30:00,6.68
2024-01-04 07:45:00,36.38
2024-01-04 08:00:00,73.09
2024-01-04 08:15:00,105.72
2024-01-04 08:30:00,140.09
2024-01-04 08:45:00,165.89
2024-01-04 09:00:00,222.64
2024-01-04 09:15:00,255.38
2024-01-04 09:30:00,286.85
2024-01-04 09:45:00,317.21
2024-01-04 10:00:00,341.42
2024-01-04 10:15:00,367.55
2024-01-04 10:30:00,385.33
2024-01-04 10:45:00,406.50
2024-01-04 11:00:00,424.74
2024-01-04 11:15:00,433.81
2024-01-04 11:30:00,444.86
2024-01-04 11:45:00,453.14
2024-01-04 12:00:00,460.33
2024-01-04 12:15:00,458.42
2024-01-04 12:30:00,459.31
2024-01-04 12:45:00,458.82
2024-01-04 13:00:00,445.59
2024-01-04 13:15:00,421.32
2024-01-04 13:30:00,401.50
2024-01-04 13:45:00,373.32
2024-01-04 14:00:00,340.44
2024-01-04 14:15:00,274.45
2024-01-04 14:30:00,266.65
2024-01-04 14:45:00,228.87
2024-01-04 15:00:00,202.56
2024-01-04 15:15:00,169.06
2024-01-04 15:30:00,134.95
2024-01-04 15:45:00,138.52
2024-01-04 16:00:00,80.89
2024-01-04 16:15:00,22.95
2024-01-04 16:30:00,9.25
2024-01-04 16:45:00,2.44
2024-01-04 17:00:00,0.11
2024-01-04 17:15:00,-0.22
2024-01-04 17:30:00,0.00
2024-01-04 17:45:00,0.10
2024-01-04 18:00:00,0.16
2024-01-04 18:15:00,0.16
2024-01-04 18:30:00,0.06
2024-01-04 18:45:00,0.00
2024-01-04 19:00:00,0.00
2024-01-04 19:15:00,0.00
2024-01-04 19:30:00,0.00
2024-01-04 19:45:00,0.00
2024-01-04 20:00:00,0.00
2024-01-04 20:15:00,0.00
2024-01-04 20:30:00,0.02
2024-01-04 20:45:00,0.00
2024-01-04 21:00:00,0.00
2024-01-04 21:15:00,0.00
2024-01-04 21:30:00,0.00
2024-01-04 21:45:00,-0.02
2024-01-04 22:00:00,-0.19
2024-01-04 22:15:00,-0.01
2024-01-04 22:30:00,-0.03
2024-01-04 22:45:00,-0.32
2024-01-04 23:00:00,-0.32
2024-01-04 23:15:00,-0.24
2024-01-04 23:30:00,-0.82
2024-01-04 23:45:00,-0.58
2024-01-05 00:00:00,-0.49
2024-01-05 00:15:00,-0.43
2024-01-05 00:30:00,-0.46
2024-01-05 00:45:00,-0.41
2024-01-05 01:00:00,-0.36
2024-01-05 01:15:00,-0.22
2024-01-05 01:30:00,-0.16
2024-01-05 01:45:00,0.08
2024-01-05 02:00:00,0.47
2024-01-05 02:15:00,0.57
2024-01-05 02:30:00,0.30
2024-01-05 02:45:00,0.22
2024-01-05 03:00:00,0.22
2024-01-05 03:15:00,0.25
2024-01-05 03:30:00,0.24
2024-01-05 03:45:00,0.32
2024-01-05 04:00:00,0.29
2024-01-05 04:15:00,0.21
2024-01-05 04:30:00,0.13
2024-01-05 04:45:00,0.30
2024-01-05 05:00:00,0.27
2024-01-05 05:15:00,0.18
2024-01-05 05:30:00,0.20
2024-01-05 05:45:00,0.33
2024-01-05 06:00:00,0.29
2024-01-05 06:15:00,0.28
2024-01-05 06:30:00,0.22
2024-01-05 06:45:00,0.18
2024-01-05 07:00:00,0.34
2024-01-05 07:15:00,1.43
2024-01-05 07:30:00,7.35
2024-01-05 07:45:00,33.24
2024-01-05 08:00:00,52.87
2024-01-05 08:15:00,62.24
2024-01-05 08:30:00,65.02
2024-01-05 08:45:00,129.30
2024-01-05 09:00:00,189.18
2024-01-05 09:15:00,102.99
